"id","name","subcategory","description","imageUrl","keywords"
"4b73baec-5b86-49b2-8c16-dc3e6972a893","Realistic Black Credit Card Mockup with Metallic Accents and Embossed Details","","Showcase your financial services or digital products with this high-quality black credit card mockup. It features intricate metallic accents, subtle raised embossed details, and a sleek dark finish, making it perfect for presentations, website hero images, or impactful marketing campaigns.","https://image-brandex.b-cdn.net/images/Visa Card Mockup 5.jpeg | https://image-brandex.b-cdn.net/images/Visa Card Mockup 4.jpeg","credit card; black card; metallic accents; embossed details; photorealistic mockup"
"9b067b99-dcc6-400e-abcd-5096c31d50da","Luxury Cosmetic Bottle Packaging Mockup Black Sleek Textured","","This sleek black bottle set, complete with a beautifully textured box, is perfect for showcasing luxury cosmetic branding projects. Ideal for designers creating elegant presentations for skincare, makeup, or perfume lines.","https://image-brandex.b-cdn.net/images/2323234.jpeg","luxury cosmetic; bottle packaging; mockup studio; black sleek; textured box"
"52cd848c-7104-4799-a4dc-cb2fee244121","Photorealistic Red Luxury Perfume Bottle Mockup Scene","","Present your high-end fragrance designs with this photorealistic red perfume bottle mockup. Featuring a stylish bottle set on a textured stone surface, perfect for showcasing luxury cosmetic branding, beauty product launches, or elegant e-commerce imagery.","https://image-brandex.b-cdn.net/images/546D4A6d43-gigapixel.jpeg | https://image-brandex.b-cdn.net/images/skincare-cosmetic-jar-on-gray-cinder-block-2025-02-24-23-16-46-utc.jpeg","perfume bottle mockup; red cosmetic packaging; luxury fragrance display; product branding scene; beauty photography prop"
"f5e004be-068e-49a9-b3c7-03c11a27d7a3","Vibrant Green Red Gray Soda Can Mockup Yellow Textured Background","","Showcase your beverage branding with this vibrant soda can mockup. Features a realistic design with green, red, and gray cans set against a warm, textured yellow background, perfect for product presentations and marketing materials.","https://image-brandex.b-cdn.net/images/Can 330ml Mockup 9.jpeg","soda can mockup; beverage packaging; green red gray; yellow background; product display"
"95a4e16e-74a3-4173-b498-eb1d0f5982d5","Cosmetic Dropper Bottle Mockup Minimalist Stone Podium Presentation","","Present your cosmetic or serum brand with this elegant dropper bottle mockup, featuring a realistic natural stone podium. Ideal for showcasing product designs, logos, and branding in a clean, minimalist setting for social media or portfolios.","https://image-brandex.b-cdn.net/images/green-glass-dropper-bottle-with-blank-label-lies-o-2023-11-27-04-56-39-utc.jpeg","cosmetic dropper bottle; natural stone podium; product branding display; serum bottle mockup; minimalist scene"
"4e2c0c1f-0df2-46cd-8dab-bf3bb8a0d36d","Amber Glass Dropper Bottle Cosmetic Serum Liquid Mockup","","Present your cosmetic, serum, or essential oil product designs beautifully with this realistic amber glass dropper bottle mockup. Featuring a flowing liquid effect on a warm orange background, it's perfect for branding, marketing, and portfolio displays, ensuring your product stands out.","https://image-brandex.b-cdn.net/images/Brandex dropper.jpeg","amber glass bottle; cosmetic dropper mockup; serum oil product; packaging branding; warm orange background"
"a6c5db87-4067-410b-8862-a921cb33b5b6","3D Embossed Logo Mockup Dark Blue Textured Background","","Showcase your brand with this realistic 3D embossed logo mockup. Features a sophisticated dark blue textured background, perfect for creating elegant and professional presentations. Easily customize your logo using smart objects for an impressive visual display, ideal for portfolio showcases or client pitches.","https://image-brandex.b-cdn.net/images/Wallpaper Logo Mockup 62.jpeg","embossed logo mockup; dark blue branding; textured background; 3D logo presentation; realistic branding display"
"22c1bffa-63a3-4ef0-8890-aee21bb170ca","Cosmetic Bottle Mockup Green Liquid White Label Branding","","Showcase your product branding with this minimalist cosmetic bottle mockup. Features a glossy clear green liquid inside a sleek glass bottle, perfect for presenting skincare, beauty, or wellness product designs. Includes an editable white label for easy customization and professional presentations.","https://image-brandex.b-cdn.net/images/green-water-mouthwash-in-plastic-bottle-isolated-o-2025-02-12-04-51-02-utc.jpeg","cosmetic bottle; green liquid; white label; product branding; packaging mockup"
"0c218379-381c-47ec-9429-d7462e0989c0","Urban Digital Billboard Mockup Blue Hues City Environment","","Present your designs on this stunning digital billboard mockup, featuring a realistic glow effect and captivating blue hues within a dynamic urban environment. Ideal for showcasing outdoor advertising campaigns, digital art, or brand promotions in a metropolitan context.","https://image-brandex.b-cdn.net/images/Sign Mockup 72.jpeg","digital billboard mockup; urban advertising display; glowing city screen; blue marketing signage; outdoor media presentation"
"2d1bb7aa-828c-47ae-adc3-3875ad2cbd3e","Matte Black Skincare Pump Bottle Mockup Branding Presentation","","Showcase your cosmetic and skincare products with this sleek matte black pump bottle mockup. Features customizable lighting and shadows for impactful branding presentations, perfect for displaying lotions, serums, or sanitizers.","https://image-brandex.b-cdn.net/images/Brandex liquid hand soap bottle Packaging1.jpeg","skincare pump bottle; cosmetic product mockup; matte black packaging; lotion dispenser bottle; product branding display"
"48c60e90-6e63-4d61-9eb6-b28ec6c54698","White Textured Paper 3D Embossed Logo Letterhead Mockup","","Showcase your brand with a realistic 3D embossed logo on crisp white textured letterhead. Perfect for corporate identity, client presentations, and professional stationery mockups. Easily customize your design for a sophisticated and impactful visual.","https://image-brandex.b-cdn.net/images/Paper Logo Mockup5.jpeg","3D embossed effect; letterhead stationery mockup; corporate branding; logo display; branding presentation"
"c5588cbc-b424-4d83-bc17-1f81a3400410","Photorealistic Neon Green Storefront Sign Mockup 3D Presentation","","Present your logo or brand identity with this striking neon green storefront sign mockup. Ideal for businesses seeking vibrant outdoor signage and captivating visual branding on a realistic 3D display. Perfect for showcasing designs to clients.","https://image-brandex.b-cdn.net/images/white-billboard-in-the-city-street-for-your-text-2023-11-27-05-37-17-utc.jpeg","neon green signage; storefront display; realistic mockup; outdoor business sign; 3D branding visualization"
"12c70782-cbb0-4871-9b8d-1cc0aa29e708","Premium Matte Black Brandex Portfolio – Minimalist Hardcover Book Mockup","","A sophisticated and modern product image featuring a vertical matte black hardcover book or portfolio from the ""Perfect Mockup"" series. The design showcases clean white ""Brandex"" and ""Perfect Mockup"" typography with a subtle rainbow-gradient accent line. Set against a clean studio background with a white ceramic vase and pampas grass, this high-resolution asset is ideal for creative agency portfolios, high-end lookbooks, professional brand guidelines, or luxury stationery marketing.","https://image-brandex.b-cdn.net/images/black-invitation-card-mockup-with-a-dried-flower-o-2025-01-27-22-46-16-utc.jpeg","Matte Black Book Mockup; Portfolio Asset; Minimalist Hardcover Design; Premium Stationery Branding; Professional Lookbook Graphic"
"31cda186-fd1f-449a-9fda-7b4f60438c11","Orange T-Shirt Apparel Branding Mockup Hanger Display","","Showcase your apparel brand designs with this vibrant orange t-shirt mockup. Perfect for displaying new product lines, marketing campaigns, or online store listings. Features a realistic t-shirt on a hanger, ready for your custom branding.","https://image-brandex.b-cdn.net/images/Brandex T Shirt1.jpeg","t-shirt mockup; orange apparel; branding display; hanger clothing; garment presentation"
"70830221-dd98-4dd1-a077-6e642a2cb74d","Red Soda Can Mockup with Hands for Beverage Branding","","Showcase your soft drink branding designs with this vibrant red soda can mockup. Features a realistic hand-held perspective against a clean, neutral background, perfect for marketing campaigns and product launches.","https://image-brandex.b-cdn.net/images/Can 330ml Mockup 6.jpeg","red soda can; beverage mockup; branding presentation; hand holding can; soft drink packaging"
"5db9fbae-a7da-4f57-8f7c-73aa6bcce927","Frosted Glass Dropper Bottle Mockup On Textured Rock","","Showcase your cosmetic, skincare, or essential oil product designs with this elegant frosted glass dropper bottle mockup. Featuring a realistic render on a textured rock surface, it's perfect for creating professional marketing visuals and branding presentations. Easily customize with your own artwork.","https://image-brandex.b-cdn.net/images/bottles-of-essential-massage-oil-on-stone-beauty-t-2024-09-22-02-56-16-utc.jpeg","frosted glass bottle; cosmetic dropper; product packaging scene; natural rock surface; skincare branding visual"
"f28c8824-eb47-42bf-a0af-8d4f72d5bbe1","Realistic Amber Glass Perfume Bottle Mockup Dark Background Black Cap","","This realistic amber glass perfume bottle mockup is ideal for showcasing fragrance designs. It features a sleek black cap and is presented on a sophisticated dark background, making it perfect for elegant product displays, impactful branding presentations, and compelling e-commerce visuals. Easily customize this asset for a professional and luxurious visual impact across your projects.","https://image-brandex.b-cdn.net/images/0_0-30-gigapixel-standard v2-3x.jpeg","perfume bottle mockup; amber glass bottle; fragrance branding; cosmetic packaging; dark background display"
"2f7f95df-c242-44f9-bb2a-1f41815f5e3f","Elegant Blue Glass Bottle Mockup Customizable Label Design","","Showcase your branding with this elegant glass bottle mockup, featuring a fully customizable label designed to stand out. Presented on a vibrant blue surface, this high-quality asset is perfect for product presentations and design portfolios, allowing for easy adaptation to your specific brand identity.","https://image-brandex.b-cdn.net/images/232385.jpeg","blue glass bottle; customizable label; product presentation; packaging design; vibrant blue background"
"cb063c53-8372-49cc-903f-4188f508a954","Outdoor Backlit Signage Presentation Mockup for Brand Display","","Showcase your brand designs with this ultra-realistic outdoor backlit signage presentation mockup. It offers a sleek and modern visual for demonstrating logos and brand identity in a high-visibility street or commercial setting. Ideal for client presentations, portfolio enhancements, or marketing collateral, ensuring your branding stands out day or night.","https://image-brandex.b-cdn.net/images/a-photo-of-a-sign-for-the-regional-cancer-care-cen.jpeg","outdoor signage; backlit sign; brand presentation; visual mockup; advertising display"
"0f020bde-44b4-42e3-8136-8f36c2bdb5cd","Sleek White Business Card Mockup on Textured Stone Surface","","Showcase your professional branding with this minimalist white business card mockup. Perfect for designers presenting elegant identity designs, featuring a realistic textured stone background to add sophistication to your portfolio or client presentations.","https://image-brandex.b-cdn.net/images/Brandex Business Card 9.jpeg","business card; white card; mockup generator; stone surface; branding presentation"
"b60abe42-4c3c-48c2-a591-bfe8de340fff","Elegant Champagne Bottle Mockup Silver Foil Label Design","","Showcase your beverage branding with this photorealistic elegant champagne bottle mockup. Features a customizable silver foil and a modern label design, perfect for presenting luxury product concepts, marketing materials, or portfolio displays. Easily edit smart objects for a flawless presentation.","https://image-brandex.b-cdn.net/images/wine-bottle.jpeg","champagne bottle; silver foil; product packaging; luxury branding; label presentation"
